1: HOUSE
|..|.D.R....|.DLR....|
|..|...R....|..L.....|
|..|...R....|..L.....|
|..|...R....|..L.....|
|..|...R....|..L.....|
|..|...R....|..L.....|
|..|...R....|..L.....|
|..|...R....|..L.....|
|..|...R....|..L.....|
|..|...R....|..L.....|
|..|...R....|..L.....|
|..|........|..L.....|
|..|...R....|........|
|..|...R....|..L.....|
|..|...R....|..L.....|
|..|...R....|..L.....|
|..|...R....|..L.....|
|..|...R....|..L.....|
|..|...R....|..L.....|
|..|...R....|..L.....|
|..|...R....|..L.....|
|..|...R....|..L.....|
|..|...R....|..L.....|
|..|...R....|..L.....|
|..|...R....|..L.....|
|..|...R....|..L.....|
|..|...R....|..L.....|
|..|...R....|..L.....|
|..|...R....|..L.....|
|..|...R....|..L.....|
|..|...R....|..L.....|
|..|...R....|..L.....|
|..|...R....|..L.....|
|..|...R....|..L.....|
|..|...R....|..L.....|
|..|...R....|..L.....|
|..|...R....|..L.....|
|..|...R....|..L.....|
|..|...R....|..L.....|
|..|........|..L.....|
|..|........|..L.....|
|..|........|..L.....|
|..|........|..L.....|
|..|........|..L.....|
|..|........|..L.....|
|..|........|..L.....|
|..|........|..L.....|
|..|........|..L.....|
|..|........|..L.....|
|..|........|..L.....|
|..|........|..L.....|
|..|........|..L.....|
|..|.D......|..L.....|
|..|.D......|..L.....|
|..|.D......|..L.....|
|..|.D......|..L.....|
|..|.D......|..L.....|
|..|.D......|..L.....|
|..|.D......|..L.....|
|..|.D......|..L.....|
|..|.D......|..L.....|
|..|.D......|........|
|..|.D......|........|
|..|........|........|
|..|........|........|
|..|........|........|
|..|........|........|
|..|........|........|
|..|........|........|
|..|........|........|
|..|........|........|
|..|........|........|
|..|........|........|
|..|........|........|
|..|........|..L.....|
|..|........|..L.....|
|..|...R....|..L.....|
|..|...R....|..L.....|
|..|...R....|..L.....|
|..|...R....|..L.....|
|..|...R....|..L.....|
|..|...R....|..L.....|
|..|...R....|..L.....|
|..|...R....|..L.....|
|..|...R....|..L.....|
|..|...R....|........|
|..|...R....|........|
|..|...R....|........|
|..|...R....|........|
|..|...R....|........|
|..|...R....|........|
|..|...R....|........|
|..|...R....|........|
|..|...R....|........|
|..|...R....|........|
|..|...R....|........|
|..|...R....|........|
|..|...R....|........|
|..|...R....|U.......|
|..|...R....|U.......|
|..|...R....|U.......|
|..|...R....|U.......|
|..|...R....|U.......|
|..|...R....|U.......|
|..|...R....|U.......|
|..|...R....|U.......|
|..|...R....|U.......|
|..|...R....|U.......|
|..|........|U.......|
|..|........|........|
|..|........|........|
|..|........|........|
|..|........|........|
|..|........|........|
|..|........|........|
|..|........|........|
|..|........|........|
|..|........|........|
|..|........|........|
|..|........|........|
|..|........|........|
|..|...R....|........|
|..|...R....|..L.....|
|..|...R....|..L.....|
|..|...R....|..L.....|
|..|...R....|..L.....|
|..|...R....|..L.....|
|..|...R....|..L.....|
|..|...R....|..L.....|
|..|...R....|..L.....|
|..|...R....|..L.....|
|..|...R....|..L.....|
|..|...R....|..L.....|
|..|...R....|........|
|..|...R....|........|
|..|...R....|........|
|..|...R....|........|
|..|...R....|........|
|..|...R....|........|
|..|...R....|........|
|..|...R....|........|
|..|...R....|........|
|..|...R....|........|
|..|...R....|........|
|..|...R....|........|
|..|...R....|........|
|..|...R....|U.......|
|..|...R....|U.......|
|..|...R....|U.......|
|..|...R....|U.......|
|..|...R....|U.......|
|..|...R....|U.......|
|..|...R....|U.......|
|..|........|U.......|
|..|........|U.......|
|..|........|U.......|
|..|........|U.......|
|..|........|........|
|..|........|........|
|..|........|........|
|..|........|........|
|..|........|........|
|..|........|........|
|..|........|........|
|..|........|........|
|..|........|........|
|..|...R....|........|
|..|...R....|........|
|..|...R....|........|
|..|...R....|........|
|..|...R....|..L.....|
|..|...R....|..L.....|
|..|...R....|..L.....|
|..|...R....|..L.....|
|..|...R....|..L.....|
|..|...R....|..L.....|
|..|...R....|..L.....|
|..|...R....|..L.....|
|..|...R....|..L.....|
|..|...R....|..L.....|
|..|...R....|..L.....|
|..|...R....|..L.....|
|..|...R....|..L.....|
|..|...R....|..L.....|
|..|...R....|..L.....|
|..|...R....|..L.....|
|..|...R....|..L.....|
|..|...R....|..L.....|
|..|...R....|..L.....|
|..|...R....|..L.....|
|..|...R....|..L.....|
|..|...R....|..L.....|
|..|...R....|..L.....|
|..|...R....|..L.....|
|..|...R....|..L.....|
|..|...R....|..L.....|
|..|...R....|..L.....|
|..|...R....|..L.....|
|..|........|..L.....|
|..|........|..L.....|
|..|........|..L.....|
|..|........|..L.....|
|..|........|........|
|..|........|........|
|..|........|........|
|..|........|........|
|..|........|........|
|..|........|........|
|..|........|........|
|..|........|........|
|..|........|........|
|..|...R....|........|
|..|...R....|........|
|..|...R....|........|
|..|...R....|........|
|..|...R....|..L.....|
|..|...R....|..L.....|
|..|...R....|..L.....|
|..|...R....|..L.....|
|..|...R....|..L.....|
|..|...R....|..L.....|
|..|...R....|..L.....|
|..|...R....|..L.....|
|..|...R....|..L.....|
|..|...R....|..L.....|
|..|...R....|..L.....|
|..|...R....|..L.....|
|..|...R....|..L.....|
|..|...R....|..L.....|
|..|...R....|..L.....|
|..|...R....|..L.....|
|..|...R....|..L.....|
|..|...R....|..L.....|
|..|...R....|..L.....|
|..|...R....|..L.....|
|..|...R....|..L.....|
|..|...R....|..L.....|
|..|...R....|..L.....|
|..|...R....|..L.....|
|..|...R....|..L.....|
|..|...R....|..L.....|
|..|...R....|..L.....|
|..|...R....|..L.....|
|..|........|..L.....|
|..|........|..L.....|
|..|........|..L.....|
|..|........|..L.....|
|..|........|........|
|..|........|........|
|..|........|........|
|..|........|........|
|..|........|........|
|..|........|........|
|..|........|........|
|..|........|........|
|..|........|........|
|..|...R....|........|
|..|...R....|........|
|..|...R....|........|
|..|...R....|........|
|..|...R....|........|
|..|...R....|........|
|..|...R....|........|
|..|...R....|..L.....|
|..|...R....|..L.....|
|..|...R....|..L.....|
|..|...R....|..L.....|
|..|...R....|..L.....|
|..|...R....|..L.....|
|..|...R....|..L.....|
|..|...R....|..L.....|
|..|...R....|..L.....|
|..|...R....|..L.....|
|..|...R....|..L.....|
|..|...R....|..L.....|
|..|...R....|..L.....|
|..|...R....|..L.....|
|..|...R....|..L.....|
|..|...R....|..L.....|
|..|...R....|..L.....|
|..|...R....|..L.....|
|..|...R....|..L.....|
|..|...R....|..L.....|
|..|...R....|..L.....|
|..|...R....|..L.....|
|..|...R....|..L.....|
|..|...R....|..L.....|
|..|...R....|..L.....|
|..|........|..L.....|
|..|........|..L.....|
|..|........|..L.....|
|..|........|..L.....|
|..|........|..L.....|
|..|........|..L.....|
|..|........|..L.....|
|..|........|..L.....|
|..|........|..L.....|
|..|........|..L.....|
|..|........|..L.....|
|..|........|..L.....|
|..|........|..L.....|
|..|...R....|..L.....|
|..|...R....|..L.....|
|..|...R....|..L.....|
|..|...R....|........|
|..|...R....|........|
|..|...R....|........|
|..|...R....|........|
|..|...R....|........|
|..|...R....|........|
|..|...R....|........|
|..|...R....|........|
|..|...R....|........|
|..|...R....|........|
|..|...R....|........|
|..|...R....|........|
|..|...R....|........|
|..|...R....|.D......|
|..|...R....|.D......|
|..|...R....|.D......|
|..|...R....|.D......|
|..|...R....|.D......|
|..|...R....|.D......|
|..|...R....|.D......|
|..|...R....|.D......|
|..|...R....|.D......|
|..|...R....|.D......|
|..|...R....|.D......|
|..|...R....|........|
|..|...R....|........|
|..|...R....|........|
|..|...R....|........|
|..|...R....|........|
|..|...R....|........|
|..|...R....|........|
|..|...R....|........|
|..|...R....|........|
|..|...R....|........|
|..|...R....|........|
|..|...R....|........|
|..|...R....|........|
|..|...R....|..L.....|
|..|...R....|..L.....|
|..|...R....|..L.....|
|..|...R....|..L.....|
|..|...R....|..L.....|
|..|...R....|..L.....|
|..|...R....|..L.....|
|..|...R....|..L.....|
|..|...R....|..L.....|
|..|...R....|..L.....|
|..|...R....|..L.....|
|..|...R....|........|
|..|...R....|........|
|..|...R....|........|
|..|........|........|
|..|........|........|
|..|........|........|
|..|........|........|
|..|........|........|
|..|........|........|
|..|........|........|
|..|........|........|
|..|........|........|
|..|........|........|
|..|........|.D......|
|..|........|.D......|
|..|........|.D......|
|..|.D......|.D......|
|..|.D......|.D......|
|..|.D......|.D......|
|..|.D......|.D......|
|..|.D......|.D......|
|..|.D......|.D......|
|..|.D......|.D......|
|..|.D......|.D......|
|..|.D......|........|
|..|.D......|........|
|..|.D......|........|
|..|.D......|........|
|..|.D......|........|
|..|.D......|........|
|..|.D......|........|
|..|.D......|........|
|..|.D......|........|
|..|.D......|........|
|..|.D......|........|
|..|.D......|........|
|..|.D......|........|
|..|.D......|........|
|..|.D......|........|
|..|.D......|...R....|
|..|.D......|...R....|
|..|.D......|...R....|
|..|.D......|...R....|
|..|.D......|...R....|
|..|.D......|...R....|
|..|.D......|...R....|
|..|.D......|...R....|
|..|.D......|...R....|
|..|........|...R....|
|..|........|...R....|
|..|........|...R....|
|..|........|...R....|
|..|........|...R....|
|..|........|...R....|
|..|........|...R....|
|..|........|...R....|
|..|........|...R....|
|..|........|...R....|
|..|........|...R....|
|..|........|........|
|..|........|...R....|
|..|.D......|...R....|
|..|.D......|...R....|
|..|.D......|...R....|
|..|.D......|...R....|
|..|.D......|...R....|
|..|.D......|...R....|
|..|.D......|...R....|
|..|.D......|...R....|
|..|.D......|...R....|
|..|.D......|...R....|
|..|.D......|...R....|
|..|.D......|...R....|
|..|.D......|...R....|
|..|.D......|...R....|
|..|.D......|...R....|
|..|.D......|...R....|
|..|.D......|...R....|
|..|.D......|...R....|
|..|.D......|...R....|
|..|.D......|...R....|
|..|.D......|...R....|
|..|.D......|...R....|
|..|.D......|...R....|
|..|.D......|...R....|
|..|.D......|...R....|
|..|.D......|...R....|
|..|.D......|........|
|..|.D......|........|
|..|.D......|........|
|..|.D......|........|
|..|.D......|........|
|..|.D......|........|
|..|........|........|
|..|........|........|
|..|........|........|
|..|........|........|
|..|........|........|
|..|........|........|
|..|........|........|
|..|........|.D......|
|..|........|.D......|
|..|........|.D......|
|..|........|.D......|
|..|........|.D......|
|..|........|.D......|
|..|.D......|.D......|
|..|.D......|.D......|
|..|.D......|.D......|
|..|.D......|.D......|
|..|.D......|.D......|
|..|.D......|........|
|..|.D......|........|
|..|.D......|........|
|..|.D......|........|
|..|.D......|........|
|..|.D......|........|
|..|........|........|
|..|........|........|
|..|........|........|
|..|........|........|
|..|........|........|
|..|........|........|
|..|........|........|
|..|........|...R....|
|..|........|...R....|
|..|........|...R....|
|..|........|...R....|
|..|........|...R....|
|..|........|...R....|
|..|..L.....|...R....|
|..|..L.....|...R....|
|..|..L.....|...R....|
|..|..L.....|...R....|
|..|..L.....|...R....|
|..|..L.....|........|
|..|..L.....|........|
|..|..L.....|........|
|..|..L.....|........|
|..|..L.....|........|
|..|..L.....|........|
|..|..L.....|........|
